gender,mod_resource_course_module_viewed,user_profile_viewed,mod_forum_course_module_viewed,discussion_viewed,event_course_viewed,assessable_uploaded,feedback_course_module_viewed,feedback_response_submitted,post_created,final_grades
Female,20,1,5,20,29,3,4,2,3,B+
Male,5,2,5,6,27,4,3,3,3,A-
Male,27,1,7,11,58,1,7,5,1,B-
Male,3,5,3,8,23,2,4,4,2,B-
Male,5,0,9,11,26,6,6,5,5,B-
Male,6,4,0,4,15,1,5,5,1,C+
Female,3,0,10,17,30,4,6,5,4,B+
Male,7,10,29,73,45,7,5,4,5,A
Male,14,1,11,26,44,2,8,5,2,B-
Male,14,10,21,53,59,7,6,4,7,B
Female,19,1,11,23,39,8,7,5,7,B
Male,15,3,2,10,23,1,4,4,1,B-
Male,10,0,1,4,25,1,7,5,1,C+
Male,14,1,3,47,42,9,7,4,8,B-
Male,5,3,0,3,10,1,5,5,1,B
Female,9,1,8,46,31,8,11,4,8,B-
Male,19,1,2,12,41,3,10,2,3,B
Male,3,0,3,16,14,3,3,3,3,B-
Male,15,6,17,18,45,3,8,6,3,B
Male,0,0,5,2,11,1,4,4,1,C+
Male,14,0,7,9,35,1,10,6,1,B-
Male,3,0,7,27,25,6,9,5,6,B-
Male,15,6,4,2,22,0,0,0,0,C+
Male,4,2,11,19,25,7,4,4,4,C
Male,14,0,9,16,36,1,8,6,1,B-
Male,22,5,12,9,46,2,4,4,2,B
Male,15,1,10,13,40,7,11,6,7,B-
Male,12,3,13,49,38,8,5,5,7,A
Male,24,0,4,8,28,2,4,4,2,C+
Male,8,0,8,5,23,2,9,0,2,C+
Male,24,27,16,22,49,5,6,5,4,B
Female,7,1,8,27,24,7,5,4,5,B-
Male,25,1,3,10,23,1,5,5,1,A-
Male,5,3,19,13,23,2,4,2,1,B
Male,8,1,3,6,15,2,4,4,2,C+
Female,10,0,1,11,33,5,8,6,5,B
Male,15,6,13,31,43,4,7,5,4,B
Male,16,0,11,19,36,3,4,4,3,B
Female,10,1,1,24,30,1,5,3,1,B+
Male,18,4,24,32,63,5,6,4,4,A
Male,15,0,13,20,38,2,4,4,2,B
Female,17,1,7,12,28,7,5,4,7,B
Male,5,0,2,5,16,1,5,5,1,B
