@relation e14


@attribute gender {Male,Female}
@attribute no_of_forumn_posts numeric
@attribute participation_in_my_self {0,1}
@attribute modified_post_after_created {0,1}
@attribute no_of_action numeric
@attribute no_of_time_read numeric
@attribute no_of_action_updated numeric
@attribute no_of_action_created numeric
@attribute hit_rate_for_course_page numeric
@attribute final_grade {A,B,C,D,E}




@data
Male,5,0,1,105,99,1,1,50,A
Female,0,0,0,90,84,0,0,48,B
Female,0,0,0,116,104,1,1,61,A
Male,10,0,1,144,129,2,2,73,A
Male,3,0,1,120,112,1,1,66,A
Male,1,0,0,177,166,1,1,78,A
Male,2,1,0,96,85,3,3,38,B
Male,9,0,1,175,162,1,1,76,A
Male,0,0,0,82,75,1,1,39,B
Female,0,0,0,191,181,1,1,94,A
Male,0,0,0,96,84,1,1,54,A
Female,0,0,0,30,26,0,0,14,B
Male,0,0,0,89,80,1,1,44,B
Male,0,0,0,66,57,0,0,32,B
Female,0,0,0,127,122,1,1,74,B
Male,0,0,0,89,80,1,1,50,C
Male,3,1,0,192,180,3,3,80,B
Female,0,0,0,148,139,1,1,84,B
Female,0,0,0,102,95,1,1,57,B
Male,1,1,0,134,122,1,1,62,A
Male,0,0,0,61,52,1,1,27,B
Male,1,0,0,186,172,2,2,80,B
Male,15,0,1,339,322,1,1,117,A
Male,0,0,0,115,105,1,1,63,A
Male,11,0,1,101,90,1,1,39,A
Male,0,0,0,161,148,2,1,88,A
Male,0,0,0,123,111,1,1,63,B
Male,0,0,0,169,152,0,0,78,A
Female,1,1,0,215,198,3,2,104,B
Male,0,0,0,52,47,1,1,29,C
Male,0,0,0,65,59,1,1,39,B
Female,0,0,0,84,75,1,1,43,A
Male,7,0,1,527,499,9,8,190,A
Male,13,0,1,122,109,1,1,54,A
Female,5,0,1,269,263,0,0,59,A
Female,0,0,0,187,181,0,0,99,A
Male,0,0,0,374,259,2,1,138,A
Female,0,0,0,107,187,2,1,90,A
Male,1,1,0,83,75,1,1,42,C
Male,16,0,1,159,147,1,1,79,A
Male,2,0,1,170,164,3,2,82,A
Female,0,0,0,112,102,1,1,56,B
Female,0,0,0,315,290,1,1,145,A
Female,0,0,0,343,324,1,1,118,B
Male,0,0,0,264,252,1,1,155,A
Male,0,0,0,92,86,1,1,46,B
Female,0,0,0,140,130,2,1,88,A
Male,7,0,1,273,257,2,2,112,A
Female,0,0,0,81,70,1,1,38,B
Female,0,0,0,63,57,1,1,38,B
Female,1,1,0,69,62,1,1,35,B
Male,0,0,0,205,193,1,1,103,B
Male,1,1,0,102,91,1,1,43,B
Male,1,1,1,360,346,2,2,180,A
Male,0,0,0,116,107,1,1,55,B
Male,0,0,0,176,161,2,2,96,B
Male,0,0,0,92,83,1,1,46,C
Female,0,0,0,113,104,1,1,55,A
Male,3,0,1,155,144,1,1,67,A
Male,38,1,1,141,118,6,3,45,A
Male,0,0,0,167,155,1,1,93,B
Female,0,0,0,193,183,1,1,103,B
Male,0,0,0,115,107,1,1,54,A
Male,0,0,0,86,84,1,1,31,B
