gender,mod_resource_course_module_viewed,user_profile_viewed,mod_forum_course_module_viewed,discussion_viewed,event_course_viewed,assessable_uploaded,feedback_course_module_viewed,feedback_response_submitted,post_created,final_grades
Male,9,0,7,5,38,1,4,4,1,B
Male,30,9,33,11,89,1,9,5,1,B
Male,9,0,4,4,45,1,5,5,1,A
Male,7,1,4,5,29,1,5,5,1,A
Male,5,1,5,4,20,1,8,2,1,C
Male,4,0,0,3,17,1,8,3,1,A
Male,8,3,8,8,28,1,3,3,1,A
Male,7,1,3,3,56,1,5,5,1,A
Female,5,0,5,3,28,1,2,2,1,A
Male,4,0,1,2,21,1,3,3,1,A
Male,9,1,5,8,34,1,5,4,1,B
Male,4,2,7,6,43,2,6,5,2,A
Male,14,12,32,23,102,3,11,5,2,A
Male,17,1,10,5,63,0,7,5,0,A
Male,16,4,9,12,45,1,5,4,1,A
Male,4,0,3,1,29,0,5,5,0,A
Male,10,7,10,6,57,2,11,0,1,A
Male,8,0,2,4,22,1,3,3,1,A
Male,4,0,6,5,17,1,3,3,0,B
Male,3,0,5,4,42,1,5,5,1,B
Male,14,9,16,18,83,5,8,5,3,A
Male,5,11,20,12,85,2,4,4,1,A
Male,3,0,2,5,22,1,3,3,1,A
Male,11,2,8,6,45,1,4,4,1,A
Male,1,5,2,3,41,1,6,5,1,A
Male,10,0,32,18,64,1,5,5,1,A
Male,13,1,5,11,49,3,3,3,3,B
Male,0,0,12,9,25,1,4,4,1,A
Male,19,0,31,6,88,1,4,3,1,B
Male,3,1,0,7,15,1,5,3,1,B
Male,10,3,3,4,38,1,4,4,1,B
Male,8,0,14,3,79,1,8,5,1,B
Male,9,2,26,18,62,1,11,5,1,A
Male,17,0,5,1,42,1,5,4,0,B
Male,11,3,0,1,28,0,2,2,0,A
Male,11,1,50,17,67,1,6,5,1,A
Male,14,1,13,7,61,2,5,5,1,A
Male,1,0,1,2,9,1,4,2,1,B
Male,6,7,12,18,57,2,8,3,1,A
Male,3,0,6,8,47,1,16,5,1,B
Male,3,0,5,3,20,1,6,5,1,B
Male,11,0,12,6,22,1,4,3,1,B
Female,12,1,45,23,102,2,5,4,2,A
Male,12,2,8,5,32,1,7,3,1,A
Male,11,4,17,13,56,1,4,3,1,A
Male,7,1,16,9,36,1,3,3,1,A
Male,1,2,3,2,15,1,5,4,1,B
Female,11,3,14,14,57,1,5,4,1,A
Male,9,0,12,6,50,1,5,4,1,B
Male,6,0,0,4,17,1,5,5,1,B
Male,15,1,9,0,55,1,2,1,0,A
Male,4,1,3,7,33,2,4,3,2,B
Male,7,4,6,7,27,1,17,5,1,B
Male,6,0,6,4,27,1,3,3,1,B
Male,5,5,4,8,27,1,4,3,1,A
Male,21,0,11,1,54,1,6,3,1,B
Male,3,3,6,4,23,1,3,3,1,A
Male,14,3,32,22,65,2,5,5,2,A
Male,8,0,7,5,47,1,7,5,1,B
Male,12,4,6,6,32,2,5,3,2,A
Male,5,1,9,6,49,3,4,2,1,A
Male,10,2,0,6,39,1,6,5,1,A
Male,4,1,10,17,28,5,3,3,4,B
Male,1,0,15,7,35,1,3,3,0,A
Male,3,1,1,7,25,1,4,4,1,B
Female,20,3,37,23,78,1,4,3,1,A
Male,15,1,9,5,35,1,17,1,1,B
Male,10,0,1,4,50,1,7,6,1,B
Female,11,3,5,12,32,1,7,4,1,B
Male,7,10,24,19,73,2,8,5,1,A
Male,10,1,3,5,29,0,6,3,0,A
Male,7,6,7,8,42,1,7,5,1,A
Male,5,4,1,12,30,3,3,3,3,B
Male,2,4,5,13,21,1,3,2,1,B
Male,30,1,18,8,98,1,8,6,1,A
Male,23,1,3,0,43,0,10,7,0,B
Male,19,2,11,4,81,1,6,5,1,A
Male,7,1,5,4,58,1,9,7,1,A
Female,15,0,3,3,52,1,10,9,1,B
Female,31,0,17,10,86,2,8,7,1,A
Male,25,8,41,14,96,1,10,8,1,B
Male,24,1,16,3,71,2,11,9,1,A
Female,6,2,7,5,73,1,12,9,1,A
Male,19,12,78,20,156,4,9,8,1,B
Male,34,0,16,9,110,1,8,4,1,B
Male,25,0,5,4,44,1,2,2,0,B
Male,12,1,2,5,42,2,8,6,1,B
Male,25,5,10,2,77,1,13,4,1,B
Male,19,0,3,0,63,0,17,0,0,B
Male,5,0,7,3,75,1,11,7,1,B
Male,34,0,8,4,70,1,5,4,1,C
Male,14,3,14,9,78,1,7,6,1,B
